,white,black
0,28.30188679245283,20.75471698113207
1,41.02564102564102,23.07692307692307
2,25.64102564102564,28.2051282051282
3,35.483870967741936,29.03225806451613
4,39.02439024390244,26.82926829268293
5,35.63218390804598,36.7816091954023
6,34.69387755102041,30.61224489795918
7,26.47058823529412,27.941176470588232
8,35.05154639175257,32.98969072164948
9,30.15873015873015,25.39682539682539
10,28.57142857142857,20.0
11,19.04761904761904,28.57142857142857
12,30.0,32.5
13,24.69135802469135,29.629629629629626
14,30.86419753086419,28.39506172839506
15,18.64406779661017,35.59322033898305
16,28.947368421052634,28.947368421052634
17,44.0,34.66666666666667
18,26.66666666666666,33.33333333333333
19,30.303030303030297,34.84848484848485
20,26.984126984126984,23.8095238095238
21,31.73076923076923,31.73076923076923
22,41.17647058823529,29.411764705882348
23,22.516556291390728,32.45033112582781
24,26.923076923076923,28.2051282051282
25,32.5,25.83333333333333
26,30.0,27.500000000000004
27,32.14285714285714,33.92857142857143
28,28.26086956521739,28.26086956521739
29,35.71428571428571,26.190476190476193
30,31.48148148148148,40.74074074074074
31,30.23255813953488,29.06976744186046
32,38.09523809523809,26.984126984126984
33,20.0,31.66666666666666
34,34.14634146341463,24.39024390243902
35,30.43478260869565,39.130434782608695
36,37.5,30.555555555555557
37,30.666666666666657,22.66666666666666
38,36.7816091954023,27.58620689655172
39,31.25,33.33333333333333
40,29.411764705882348,27.941176470588232
41,33.96226415094339,32.0754716981132
42,39.53488372093023,25.581395348837212
43,27.58620689655172,34.48275862068966
44,42.105263157894726,28.947368421052634
45,26.82926829268293,30.48780487804878
46,25.0,34.210526315789465
47,34.23423423423423,30.630630630630627
48,27.631578947368418,32.89473684210526
49,31.88405797101449,30.43478260869565
50,28.40909090909091,29.54545454545454
51,22.05882352941176,36.764705882352935
52,30.263157894736842,34.210526315789465
53,28.78787878787879,36.36363636363636
54,36.206896551724135,36.206896551724135
55,40.36697247706422,33.94495412844037
56,25.352112676056336,30.985915492957737
57,31.645569620253163,34.17721518987341
58,44.18604651162791,18.604651162790688
59,33.72093023255814,30.23255813953488
60,37.25490196078431,31.372549019607842
61,33.33333333333333,22.22222222222222
62,27.69230769230769,35.38461538461538
63,43.47826086956521,26.08695652173913
64,27.45098039215686,25.49019607843137
65,32.65306122448979,30.61224489795918
66,34.883720930232556,30.23255813953488
67,27.027027027027028,33.783783783783775
68,37.73584905660377,26.41509433962264
69,35.38461538461538,21.53846153846154
70,30.0,33.0
71,31.25,31.25
72,35.13513513513513,29.72972972972973
73,18.75,23.4375
74,29.09090909090909,20.0
75,37.03703703703703,29.629629629629626
76,37.69230769230769,29.230769230769234
77,38.38383838383838,30.303030303030297
78,31.11111111111111,26.66666666666666
79,35.06493506493506,28.57142857142857
80,46.15384615384615,28.2051282051282
81,43.24324324324324,37.83783783783784
82,31.428571428571427,32.857142857142854
83,33.33333333333333,33.33333333333333
84,32.631578947368425,32.631578947368425
85,31.88405797101449,30.43478260869565
86,30.508474576271187,20.33898305084746
87,37.5,39.58333333333333
88,30.476190476190478,30.476190476190478
89,28.57142857142857,28.57142857142857
90,24.528301886792452,28.30188679245283
91,31.428571428571427,30.0
92,27.27272727272727,25.0
93,25.96153846153846,32.69230769230769
94,35.13513513513513,31.08108108108108
95,30.0,35.0
96,30.263157894736842,35.52631578947368
97,33.89830508474576,25.423728813559322
98,28.57142857142857,28.57142857142857
99,30.58823529411765,34.11764705882353
100,29.54545454545454,25.0
101,28.78787878787879,30.303030303030297
102,26.31578947368421,29.82456140350877
103,28.947368421052634,39.47368421052631
104,39.0625,32.8125
105,34.28571428571428,40.0
106,29.48717948717949,33.33333333333333
107,38.46153846153846,27.69230769230769
108,26.08695652173913,30.43478260869565
109,35.38461538461538,35.38461538461538
110,40.0,24.44444444444444
111,26.89075630252101,27.73109243697479
112,23.94366197183098,25.352112676056336
113,28.723404255319153,35.1063829787234
114,32.65306122448979,33.6734693877551
115,35.82089552238806,32.83582089552239
116,42.22222222222222,28.888888888888882
117,40.98360655737705,26.22950819672131
118,24.210526315789473,34.73684210526316
119,36.17021276595745,29.78723404255319
