,url,time_control,EndDate,isProfilePlayerWon,isProfilePlayerLost,isProfilePlayerDrawn,terminationType,Opening
7713,https://www.chess.com/game/live/49727406881,120+1,2022.06.23,True,False,False,on time,Danish-Gambit-Accepted-Classical-Defense
7714,https://www.chess.com/game/live/49728060139,120+1,2022.06.23,False,True,False,on time,Ponziani-Opening-Jaenisch-Counterattack
7715,https://www.chess.com/game/live/49731030617,600,2022.06.23,True,False,False,by resignation,Scotch-Game-Classical-Variation...6.c3-Nge7-7.g3-d5
7716,https://www.chess.com/game/live/49731660385,120+1,2022.06.23,False,True,False,by checkmate,Queens-Pawn-Opening-Zukertort-Chigorin-Variation-3.g3
7717,https://www.chess.com/game/live/49741802817,120+1,2022.06.23,False,True,False,by checkmate,Scotch-Game-Classical-Variation...7.g3-d5-8.Bg2-dxe4
7718,https://www.chess.com/game/live/49741880589,120+1,2022.06.23,False,True,False,on time,Kings-Pawn-Opening-St-George-Defense
7719,https://www.chess.com/game/live/49830655229,300+5,2022.06.24,False,True,False,by checkmate,Italian-Game-Two-Knights-Modern-Bishops-Opening-4...h6-5.c3
7720,https://www.chess.com/game/live/49831259825,300+5,2022.06.24,True,False,False,by resignation,English-Opening-Anglo-Indian-Anglo-Grunfeld-Defense
7721,https://www.chess.com/game/live/49831865987,300+5,2022.06.24,False,True,False,by resignation,Sicilian-Defense-Marshall-Counterattack-4.exd5-exd5
7722,https://www.chess.com/game/live/49834235231,300+5,2022.06.24,True,False,False,by checkmate,French-Defense-Exchange-Variation-3...exd5-4.Nc3-Nf6-5.Nf3
7723,https://www.chess.com/game/live/49835366685,120+1,2022.06.24,False,True,False,by resignation,Philidor-Defense-3.d4-Bg4-4.dxe5
7724,https://www.chess.com/game/live/49835440303,120+1,2022.06.24,True,False,False,by resignation,Bishops-Opening-Berlin-Vienna-Hybrid-Variation
7725,https://www.chess.com/game/live/49835472247,120+1,2022.06.24,False,True,False,by resignation,Four-Knights-Game
7726,https://www.chess.com/game/live/49836018189,120+1,2022.06.24,True,False,False,by checkmate,Queens-Pawn-Opening-1...d5-2.e3
7727,https://www.chess.com/game/live/49836560777,120+1,2022.06.24,True,False,False,on time,Four-Knights-Game-Scotch-Variation-Accepted-5.Nxd4
7728,https://www.chess.com/game/live/49836644033,120+1,2022.06.24,True,False,False,on time,Sicilian-Defense-Open-Scheveningen-Vitolins-Variation
7729,https://www.chess.com/game/live/49837153111,120+1,2022.06.24,True,False,False,on time,Scotch-Game-3...exd4-4.Nxd4-Nxd4-5.Qxd4
7730,https://www.chess.com/game/live/49837261689,120+1,2022.06.24,False,False,True,Game drawn by insufficient material,Sicilian-Defense-Drazic-Variation
7731,https://www.chess.com/game/live/49837777429,120+1,2022.06.24,True,False,False,on time,Ruy-Lopez-Opening-Morphy-Defense-Exchange-Lutikov-Variation
7732,https://www.chess.com/game/live/49838329601,120+1,2022.06.24,True,False,False,on time,Italian-Game-Two-Knights-Modern-Bishops-Opening-4...h6-5.O-O
7733,https://www.chess.com/game/live/49838408431,120+1,2022.06.24,False,True,False,by checkmate,Ruy-Lopez-Opening-Morphy-Defense-Exchange-Lutikov-Variation
7734,https://www.chess.com/game/live/49838459379,120+1,2022.06.24,True,False,False,by resignation,Philidor-Defense-Exchange-Variation-4.Nxd4
7735,https://www.chess.com/game/live/49841387857,120+1,2022.06.24,True,False,False,by resignation,Queens-Pawn-Opening-Accelerated-London-Steinitz-Countergambit-3.e3
7736,https://www.chess.com/game/live/49841425779,120+1,2022.06.24,True,False,False,by resignation,Italian-Game-Knight-Attack-Polerio-Bishop-Check-Bogoljubov-Variation
7737,https://www.chess.com/game/live/49841974371,120+1,2022.06.24,True,False,False,by checkmate,Scandinavian-Defense-Mieses-Kotrc-Variation-3.Nc3-Qe5
7738,https://www.chess.com/game/live/49842041073,120+1,2022.06.24,True,False,False,by resignation,Pirc-Defense-Main-Line-4.Be3-Bg7-5.Qd2-Ng4
7739,https://www.chess.com/game/live/49842562129,120+1,2022.06.24,False,True,False,on time,Kings-Pawn-Opening-Kings-Knight-Busch-Gass-Chiodini-Gambit
7740,https://www.chess.com/game/live/49842648863,120+1,2022.06.24,False,True,False,by resignation,Italian-Game-Two-Knights-Modern-Bishops-Opening-4...h6-5.Nc3
7741,https://www.chess.com/game/live/49843155891,120+1,2022.06.24,False,True,False,by checkmate,Sicilian-Defense-Open-3...cxd4-4.Nxd4
7742,https://www.chess.com/game/live/49849200447,120+1,2022.06.24,False,True,False,by checkmate,Danish-Gambit-3...dxc3-4.Bc4
7743,https://www.chess.com/game/live/49849737387,120+1,2022.06.24,False,True,False,by resignation,Sicilian-Defense-Open-Najdorf-Anti-English-Variation
7744,https://www.chess.com/game/live/49849796067,120+1,2022.06.24,False,True,False,by resignation,Danish-Gambit-Accepted-Classical-Defense
7745,https://www.chess.com/game/live/49849817189,120+1,2022.06.24,False,True,False,by resignation,Sicilian-Defense-Open-Najdorf-Anti-English-Variation
7746,https://www.chess.com/game/live/49850373419,120+1,2022.06.24,False,True,False,by resignation,Scandinavian-Defense-Mieses-Kotrc-Main-Line-Leonhardt-Gambit
